m,method,roc_auc,average_precision_pr_auc
360,MP_humidity,0.501337395516394,0.4875314731289737
360,MSTUMP_3D,0.5120815088037044,0.42922451115572424
360,MP_univariate_max,0.5148809739805704,0.3909383221735926
360,MP_univariate_mean,0.4791822748314474,0.38730498814463055
360,MSTUMP_2D,0.46208030547845313,0.3697443877880041
360,MP_power_consumption,0.4747405038475588,0.35491828679120757
360,MSTUMP_1D,0.4353426167151793,0.3245526865166155
360,MP_temperature,0.44699800901931136,0.31747775226929237
1440,MSTUMP_3D,0.7293869660847201,0.573382563691643
1440,MP_univariate_mean,0.7274464607363548,0.5616111848802978
1440,MP_humidity,0.6998674144613967,0.559966756430016
1440,MSTUMP_2D,0.7248523273355565,0.5599634709846639
1440,MP_power_consumption,0.704714065532182,0.5085382448249622
1440,MP_univariate_max,0.7111390290907229,0.5075413176973491
1440,MSTUMP_1D,0.6617672747523871,0.4901974504800828
1440,MP_temperature,0.6298166684399411,0.4437036927990836
