method,percentile,threshold,precision,recall,f1,tp,fp,tn,fn
MP_univariate_max,95,1.0,0.8569444444444444,0.2572619874913134,0.39572421165152327,1851,309,12656,5344
MSTUMP_3D,95,0.9394561109084888,0.8863936591809776,0.18651841556636553,0.30818693305775635,1342,172,12793,5853
MP_humidity,95,0.9901600405181566,1.0,0.1496872828353023,0.2603965183752418,1077,0,12965,6118
MP_temperature,95,0.9935395650808984,0.5244239631336406,0.15816539263377347,0.24303256807261078,1138,1032,11933,6057
MP_univariate_mean,95,0.8818700301647903,0.7774509803921569,0.11021542738012509,0.19306147291539866,793,227,12738,6402
MP_power_consumption,95,0.5989524516696612,0.5022307202039515,0.10952050034746352,0.1798265632131447,788,781,12184,6407
MSTUMP_2D,95,1.0,0.3888888888888889,0.0778318276580959,0.12970469021424436,560,880,12085,6635
MSTUMP_1D,95,0.9860619736659508,0.38381742738589214,0.07713690062543432,0.12845735447286194,555,891,12074,6640
MP_univariate_max,97,1.0,0.8569444444444444,0.2572619874913134,0.39572421165152327,1851,309,12656,5344
MP_humidity,97,1.0,1.0,0.10006949270326616,0.1819330385344283,720,0,12965,6475
MP_temperature,97,1.0,0.9,0.09006254343293954,0.16373973468098546,648,72,12893,6547
MSTUMP_3D,97,1.0,0.7736111111111111,0.07741487143849896,0.14074542008843968,557,163,12802,6638
MP_univariate_mean,97,0.9256732810946614,0.8433179723502304,0.07630298818624044,0.13994392046902882,549,102,12863,6646
MSTUMP_2D,97,1.0,0.3888888888888889,0.0778318276580959,0.12970469021424436,560,880,12085,6635
MP_power_consumption,97,1.0,0.6708333333333333,0.06712995135510771,0.12204674668351231,483,237,12728,6712
MSTUMP_1D,97,1.0,0.3819444444444444,0.03822098679638638,0.06948831332912192,275,445,12520,6920
MP_univariate_max,99,1.0,0.8569444444444444,0.2572619874913134,0.39572421165152327,1851,309,12656,5344
MP_humidity,99,1.0,1.0,0.10006949270326616,0.1819330385344283,720,0,12965,6475
MP_temperature,99,1.0,0.9,0.09006254343293954,0.16373973468098546,648,72,12893,6547
MSTUMP_3D,99,1.0,0.7736111111111111,0.07741487143849896,0.14074542008843968,557,163,12802,6638
MSTUMP_2D,99,1.0,0.3888888888888889,0.0778318276580959,0.12970469021424436,560,880,12085,6635
MP_power_consumption,99,1.0,0.6708333333333333,0.06712995135510771,0.12204674668351231,483,237,12728,6712
MP_univariate_mean,99,0.9262817832680266,0.8068181818181818,0.05920778318276581,0.11031982390262851,426,102,12863,6769
MSTUMP_1D,99,1.0,0.3819444444444444,0.03822098679638638,0.06948831332912192,275,445,12520,6920
