auc,precision,recall,f1,tn,fp,fn,tp,flagged_points,flagged_rate_%,n_eval,hybrid,configuration,thresholds,q_MP,q_Z,q_LOF,q_IF
0.6269739338598701,0.4378818737270876,0.29614325068870523,0.3533278553820871,6265,276,511,215,491,6.75657079950461,7267,MP OR Z OR IF,MP@p99 OR Z@p99 OR IF@p95,"{'MP': 2.2699698509656385, 'Z': 3.0736821262882095, 'IF': 0.5521145861141614}",99,99.0,,95.0
0.6346408730183799,0.3509272467902996,0.33884297520661155,0.3447792571829012,6086,455,480,246,701,9.64634649786707,7267,MP OR Z OR IF,MP@p99 OR Z@p99 OR IF@p92,"{'MP': 2.2699698509656385, 'Z': 3.0736821262882095, 'IF': 0.5192546708495505}",99,99.0,,92.0
0.6264432696831136,0.3960573476702509,0.3044077134986226,0.3442367601246106,6204,337,505,221,558,7.678546855648824,7267,MP OR Z OR IF,MP@p98 OR Z@p99 OR IF@p95,"{'MP': 2.1902390667101694, 'Z': 3.0736821262882095, 'IF': 0.5521145861141614}",98,99.0,,95.0
0.6190122865603401,0.4574712643678161,0.2741046831955923,0.34280792420327305,6305,236,527,199,435,5.985963946607954,7267,MP OR IF,MP@p99 OR IF@p95,"{'MP': 2.2699698509656385, 'IF': 0.5521145861141614}",99,,,95.0
0.6275957796193791,0.36757624398073835,0.3154269972451791,0.3395107487027428,6147,394,497,229,623,8.5730012384753,7267,MP OR Z OR IF,MP@p97 OR Z@p99 OR IF@p95,"{'MP': 2.1274994965344325, 'Z': 3.0736821262882095, 'IF': 0.5521145861141614}",97,99.0,,95.0
0.623535566924123,0.3902877697841727,0.2988980716253444,0.33853354134165364,6202,339,509,217,556,7.651025182331086,7267,MP OR Z OR IF,MP@p99 OR Z@p98 OR IF@p95,"{'MP': 2.2699698509656385, 'Z': 2.724585907467929, 'IF': 0.5521145861141614}",99,98.0,,95.0
0.6341102088416233,0.328125,0.34710743801652894,0.3373493975903614,6025,516,474,252,768,10.568322554011283,7267,MP OR Z OR IF,MP@p98 OR Z@p99 OR IF@p92,"{'MP': 2.1902390667101694, 'Z': 3.0736821262882095, 'IF': 0.5192546708495505}",98,99.0,,92.0
0.6272914900418339,0.357032457496136,0.3181818181818182,0.33648943918426805,6125,416,495,231,647,8.903261318288152,7267,MP OR IF,MP@p99 OR IF@p92,"{'MP': 2.2699698509656385, 'IF': 0.5192546708495505}",99,,,92.0
0.6366408662797871,0.31124260355029587,0.3622589531680441,0.3348185868873329,5959,582,463,263,845,11.627906976744185,7267,MP OR Z OR IF,MP@p99 OR Z@p99 OR IF@p90,"{'MP': 2.2699698509656385, 'Z': 3.0736821262882095, 'IF': 0.5088267634912716}",99,99.0,,90.0
0.6184816223835834,0.40836653386454186,0.28236914600550966,0.3338762214983713,6244,297,521,205,502,6.907940002752167,7267,MP OR IF,MP@p98 OR IF@p95,"{'MP': 2.1902390667101694, 'IF': 0.5521145861141614}",98,,,95.0
0.6353391596890645,0.3125,0.3581267217630854,0.3337612323491656,5969,572,466,260,832,11.449016100178891,7267,MP OR Z OR IF,MP@p97 OR Z@p99 OR IF@p92,"{'MP': 2.1274994965344325, 'Z': 3.0736821262882095, 'IF': 0.5192546708495505}",97,99.0,,92.0
