detector,parameter,percentile,threshold,flagged_points,flagged_rate_%,auc,precision,recall,f1,tp,fp,tn,fn,n_eval,parameter_value
LOF,"window=6h, k=20",95.0,1.6196991083641434,364,5.008944543828265,0.48369513258812924,0.09615384615384616,0.048209366391184574,0.06422018348623854,35,329,6212,691,7267,6
LOF,"window=6h, k=20",99.0,4.376959565620132,73,1.0045410760974267,0.48369513258812924,0.0136986301369863,0.0013774104683195593,0.0025031289111389237,1,72,6469,725,7267,6
LOF,"window=12h, k=20",95.0,3.385514999535786,364,5.008944543828265,0.4894503119336686,0.057692307692307696,0.028925619834710745,0.03853211009174312,21,343,6198,705,7267,12
LOF,"window=12h, k=20",99.0,8.921196796945303,73,1.0045410760974267,0.4894503119336686,0.0136986301369863,0.0013774104683195593,0.0025031289111389237,1,72,6469,725,7267,12
LOF,"window=24h, k=20",95.0,3.2126830551289904,364,5.008944543828265,0.5323161848783452,0.1043956043956044,0.05234159779614325,0.06972477064220184,38,326,6215,688,7267,24
LOF,"window=24h, k=20",99.0,11.157199060843856,73,1.0045410760974267,0.5323161848783452,0.0,0.0,0.0,0,73,6468,726,7267,24
LOF,"window=48h, k=20",95.0,3.2184643355542324,364,5.008944543828265,0.5242361910441575,0.09065934065934066,0.045454545454545456,0.060550458715596334,33,331,6210,693,7267,48
LOF,"window=48h, k=20",99.0,30.441209592522416,73,1.0045410760974267,0.5242361910441575,0.0,0.0,0.0,0,73,6468,726,7267,48
LOF,"window=72h, k=20",95.0,3.554645714133047,364,5.008944543828265,0.5321637242180389,0.024725274725274724,0.012396694214876033,0.01651376146788991,9,355,6186,717,7267,72
LOF,"window=72h, k=20",99.0,69.3713398011966,73,1.0045410760974267,0.5321637242180389,0.0,0.0,0.0,0,73,6468,726,7267,72
