detector,parameter,percentile,threshold,flagged_points,flagged_rate_%,auc,precision,recall,f1,tp,fp,tn,fn,n_eval,parameter_value
Matrix Profile,m=6h,95.0,0.5625789617855262,364,5.008944543828265,0.4858487447054667,0.11538461538461539,0.05785123966942149,0.07706422018348624,42,322,6219,684,7267,6
Matrix Profile,m=6h,99.0,0.6538881931900182,73,1.0045410760974267,0.4858487447054667,0.1095890410958904,0.011019283746556474,0.02002503128911139,8,65,6476,718,7267,6
Matrix Profile,m=12h,95.0,2.0441557230389535,364,5.008944543828265,0.4909359610475648,0.12912087912087913,0.06473829201101929,0.08623853211009175,47,317,6224,679,7267,12
Matrix Profile,m=12h,99.0,2.2699698509656385,73,1.0045410760974267,0.4909359610475648,0.0821917808219178,0.008264462809917356,0.015018773466833541,6,67,6474,720,7267,12
Matrix Profile,m=24h,95.0,3.6149663208340104,365,5.0227053804871336,0.4629063634636872,0.10410958904109589,0.05234159779614325,0.06966086159486709,38,327,6214,688,7267,24
Matrix Profile,m=24h,99.0,4.154959763208448,73,1.0045410760974267,0.4629063634636872,0.1232876712328767,0.012396694214876033,0.02252816020025031,9,64,6477,717,7267,24
Matrix Profile,m=48h,95.0,5.415791372576319,364,5.008944543828265,0.44052223251261485,0.0521978021978022,0.026170798898071626,0.03486238532110092,19,345,6196,707,7267,48
Matrix Profile,m=48h,99.0,6.129618175575222,73,1.0045410760974267,0.44052223251261485,0.0,0.0,0.0,0,73,6468,726,7267,48
Matrix Profile,m=72h,95.0,6.700813439141002,364,5.008944543828265,0.42433929151278454,0.07692307692307693,0.03856749311294766,0.05137614678899083,28,336,6205,698,7267,72
Matrix Profile,m=72h,99.0,7.5054035752644195,73,1.0045410760974267,0.42433929151278454,0.0,0.0,0.0,0,73,6468,726,7267,72
