detector,parameter,percentile,threshold,flagged_points,flagged_rate_%,auc,precision,recall,f1,tp,fp,tn,fn,n_eval,parameter_value
Rolling Z-score,window=6h,95.0,1.8839898382703268,364,5.008944543828265,0.5068600979707149,0.07142857142857142,0.03581267217630854,0.047706422018348627,26,338,6203,700,7267,6
Rolling Z-score,window=6h,99.0,2.0864015478912,73,1.0045410760974267,0.5068600979707149,0.0684931506849315,0.006887052341597796,0.012515644555694618,5,68,6473,721,7267,6
Rolling Z-score,window=12h,95.0,2.155436871398043,364,5.008944543828265,0.5086776227761065,0.1043956043956044,0.05234159779614325,0.06972477064220184,38,326,6215,688,7267,12
Rolling Z-score,window=12h,99.0,2.488985942551127,73,1.0045410760974267,0.5086776227761065,0.1232876712328767,0.012396694214876033,0.02252816020025031,9,64,6477,717,7267,12
Rolling Z-score,window=24h,95.0,2.171494858766075,364,5.008944543828265,0.5102542428917324,0.14560439560439561,0.07300275482093664,0.09724770642201835,53,311,6230,673,7267,24
Rolling Z-score,window=24h,99.0,2.8167880963305465,73,1.0045410760974267,0.5102542428917324,0.1643835616438356,0.01652892561983471,0.030037546933667083,12,61,6480,714,7267,24
Rolling Z-score,window=48h,95.0,2.267401904240304,364,5.008944543828265,0.5285646839621072,0.13186813186813187,0.06611570247933884,0.08807339449541285,48,316,6225,678,7267,48
Rolling Z-score,window=48h,99.0,3.0736821262882095,73,1.0045410760974267,0.5285646839621072,0.3013698630136986,0.030303030303030304,0.05506883604505632,22,51,6490,704,7267,48
Rolling Z-score,window=72h,95.0,2.2533745357526573,364,5.008944543828265,0.5398396130700059,0.12362637362637363,0.06198347107438017,0.08256880733944955,45,319,6222,681,7267,72
Rolling Z-score,window=72h,99.0,2.9328270448505505,73,1.0045410760974267,0.5398396130700059,0.2465753424657534,0.024793388429752067,0.04505632040050062,18,55,6486,708,7267,72
